archive_path,title,mime_type,size_bytes,drive_id,view_url,action
2023/2023 Hamstra Corn.xlsx,2023 Hamstra Corn.xlsx,xlsx,140267,1FH1ZcRexfTqeOYuTjyzNqfDjkjiWtcGW,https://drive.google.com/file/d/1FH1ZcRexfTqeOYuTjyzNqfDjkjiWtcGW/view,extracted
2024/2024 Hamstra Alfalfa.xlsx,2024 Hamstra Alfalfa.xlsx,xlsx,17144,1IfnlUbClXABwKOriMKCmLI9KrAdH-NF8,https://drive.google.com/file/d/1IfnlUbClXABwKOriMKCmLI9KrAdH-NF8/view,extracted
2024/2024 Hamstra Alfalfa.pdf,2024 Hamstra Alfalfa.pdf,application/pdf,49424,18ipqptl0FBEzlTi0e5O3PwBuJPjlxKqy,https://drive.google.com/file/d/18ipqptl0FBEzlTi0e5O3PwBuJPjlxKqy/view,extracted
2024/2024 Hamstra Corn.pdf,2024 Hamstra Corn.pdf,application/pdf,178523,1sodSWw9ty-Ht8WfMuyGksepLuqV5qhF4,https://drive.google.com/file/d/1sodSWw9ty-Ht8WfMuyGksepLuqV5qhF4/view,extracted
2024/2024 Hamstra Wheat.pdf,2024 Hamstra Wheat.pdf,application/pdf,124727,1kdrSVWq-GegJ5KX1tKHpS2aaSYCjXR_X,https://drive.google.com/file/d/1kdrSVWq-GegJ5KX1tKHpS2aaSYCjXR_X/view,extracted
2024/2024 Hamstra Wheat.xlsx,2024 Hamstra Wheat.xlsx,xlsx,15823,177HSmH6WLd0KmAxV_BvhzX7qteU3fUaq,https://drive.google.com/file/d/177HSmH6WLd0KmAxV_BvhzX7qteU3fUaq/view,extracted
2024/2024 Hamstra Corn.xlsx,2024 Hamstra Corn.xlsx,xlsx,146236,1w_Hqz3tXyjlPuF10Qy3cXpb8iWlkqRA3,https://drive.google.com/file/d/1w_Hqz3tXyjlPuF10Qy3cXpb8iWlkqRA3/view,extracted
2024/Hamstra to do.xlsx,Hamstra to do.xlsx,xlsx,14404,1VSuexD-YcR9TtyZVDgUksa1LXxeir0Up,https://drive.google.com/file/d/1VSuexD-YcR9TtyZVDgUksa1LXxeir0Up/view,extracted
2025/2025 Hamstra Alfalfa.pdf,2025 Hamstra Alfalfa.pdf,application/pdf,126892,1ooBZS3DPJnvF4LNhy2z1ACh6HamAmzt6,https://drive.google.com/file/d/1ooBZS3DPJnvF4LNhy2z1ACh6HamAmzt6/view,extracted
2025/2025 Hamstra Alfalfa.xlsx,2025 Hamstra Alfalfa.xlsx,xlsx,12326,1oo8Dcw8n_poX4eTvdkIMxjuvFsfqjNOd,https://drive.google.com/file/d/1oo8Dcw8n_poX4eTvdkIMxjuvFsfqjNOd/view,extracted
2025/2025 Wheat.pdf,2025 Wheat.pdf,application/pdf,195947,12we8ipKSxqoY1qEB3CSnHmfQwVg7AUmz,https://drive.google.com/file/d/12we8ipKSxqoY1qEB3CSnHmfQwVg7AUmz/view,extracted
2025/2025 Hamstra Wheat.xlsx,2025 Hamstra Wheat.xlsx,xlsx,18023,1O9PMcCfe7Kn9cdpKvMQl6tguEc6zdXvK,https://drive.google.com/file/d/1O9PMcCfe7Kn9cdpKvMQl6tguEc6zdXvK/view,extracted
2025/2025 Corn .pdf,2025 Corn .pdf,application/pdf,108002,1RG5C_dP_NiWjTBATY569A8zCCSK-C8c7,https://drive.google.com/file/d/1RG5C_dP_NiWjTBATY569A8zCCSK-C8c7/view,extracted
2025/2025 Hamstra Corn.xlsx,2025 Hamstra Corn.xlsx,xlsx,141374,1bleg36iFSs1zj-PpuemBQZWIN1q7Kacx,https://drive.google.com/file/d/1bleg36iFSs1zj-PpuemBQZWIN1q7Kacx/view,extracted
2025/2025 Hamstra To Do.xlsx,2025 Hamstra To Do.xlsx,xlsx,17978,1QBp4BPRutHhHVjEI-3qD_Dt1csD7SHqx,https://drive.google.com/file/d/1QBp4BPRutHhHVjEI-3qD_Dt1csD7SHqx/view,extracted
2025/2025 Hamstra Gyp.xlsx,2025 Hamstra Gyp.xlsx,xlsx,15998,12-87SPVsU6GfKF8Kn78J7ySIui_I15Py,https://drive.google.com/file/d/12-87SPVsU6GfKF8Kn78J7ySIui_I15Py/view,extracted
2025/2025 Hamstra Fertilizer.xlsx.extract.md,2025 Hamstra Fertilizer.xlsx,xlsx,15896,1Qcw1XcvOcA7gE-SuovfvfraaXfruF3H3,https://drive.google.com/file/d/1Qcw1XcvOcA7gE-SuovfvfraaXfruF3H3/view,extract_only
